source,periodType,date,instrument,period,price
GFI,Q,2026-05-13,TD25,2026-07-01,123.86
GFI,Q,2026-05-13,TD22,2026-07-01,12.75
GFI,Q,2026-05-13,TD19,2026-07-01,140.00
GFI,Q,2026-05-13,TD3C,2026-10-01,205.00
GFI,Q,2026-05-13,TD20,2026-10-01,14.50
GFI,Q,2026-05-13,TD7,2026-10-01,170.00
GFI,Q,2026-05-13,TD8,2026-10-01,198.33
GFI,Q,2026-05-13,TD25,2026-10-01,137.37
GFI,Q,2026-05-13,TD22,2026-10-01,13.50
GFI,Q,2026-05-13,TD19,2026-10-01,143.33
GFI,Q,2026-05-13,TD3C,2027-01-01,29.50
GFI,Q,2026-05-13,TD20,2027-01-01,82.45
GFI,Q,2026-05-13,TD7,2027-01-01,14.00
GFI,Q,2026-05-13,TD8,2027-01-01,22.50
GFI,Q,2026-05-13,TD25,2027-01-01,48.91
GFI,Q,2026-05-13,TD22,2027-01-01,44.44
GFI,Q,2026-05-13,TD19,2027-01-01,14.75
GFI,A,2026-05-13,TD3C,2027-01-01,21.00
GFI,A,2026-05-13,TD20,2027-01-01,76.80
GFI,A,2026-05-13,TD7,2027-01-01,13.45
GFI,A,2026-05-13,TD8,2027-01-01,20.82
GFI,A,2026-05-13,TD25,2027-01-01,25.47
GFI,A,2026-05-13,TD22,2027-01-01,37.96
GFI,A,2026-05-13,TD19,2027-01-01,14.00
GFI,A,2026-05-13,TD3C,2028-01-01,16.50
GFI,A,2026-05-13,TD20,2028-01-01,66.61
GFI,A,2026-05-13,TD7,2028-01-01,12.70
GFI,A,2026-05-13,TD8,2028-01-01,20.25
GFI,A,2026-05-13,TD25,2028-01-01,23.23
GFI,A,2026-05-13,TD22,2028-01-01,27.22
GFI,A,2026-05-13,TD19,2028-01-01,13.55
GFI,BITR,2026-05-14,TD3C,2026-05-01,447.50
GFI,BITR,2026-05-14,TD20,2026-05-01,195.42
GFI,BITR,2026-05-14,TD7,2026-05-01,187.08
GFI,BITR,2026-05-14,TD8,2026-05-01,395.71
GFI,BITR,2026-05-14,TD25,2026-05-01,236.67
GFI,BITR,2026-05-14,TD22,2026-05-01,17356111.00
GFI,BITR,2026-05-14,TD19,2026-05-01,186.06
GFI,MTD,2026-05-14,TD3C,2026-05-01,449.79
GFI,MTD,2026-05-14,TD20,2026-05-01,194.52
GFI,MTD,2026-05-14,TD7,2026-05-01,206.39
GFI,MTD,2026-05-14,TD8,2026-05-01,1482.43
GFI,MTD,2026-05-14,TD25,2026-05-01,305.25
